Date,Day,Festivity,Night_Coverage,Morning_Staff,Afternoon_Staff,Night_Staff,caio,genoveffa,pallo,pinco,sempronio,tizio,Warnings
01/10/2025,Wednesday,*,*,1,1,1,MP,,N,,,,
02/10/2025,Thursday,,,4,1,0,M,M,,P,M,M,
03/10/2025,Friday,,*,4,1,1,M,P,M,(D-NP) M,N,M,
04/10/2025,Saturday,,,1,1,0,,,(D-M),(F),,MP,
05/10/2025,Sunday,,,1,1,0,,,MP,(F),,,
06/10/2025,Monday,,,3,1,0,M,M,(T),F,M,P,
07/10/2025,Tuesday,,,3,1,0,M,M,(T),F,P,M,
08/10/2025,Wednesday,,,3,1,0,P,M,(T),F,M,M,
09/10/2025,Thursday,,*,2,1,1,M,(D-MP),(T) P,F,M,(D-MP) N,
10/10/2025,Friday,,,2,1,0,(D-P) M,P,(T),F,M,,
11/10/2025,Saturday,,,1,1,0,,(D-W),,(F),MP,,
12/10/2025,Sunday,*,,1,1,0,,(D-W),MP,(D-W),,,
13/10/2025,Monday,,,4,1,0,P,M,(T),M,M,M,
14/10/2025,Tuesday,,,3,1,0,M,P,(T),(D-M),M,M,
15/10/2025,Wednesday,,,4,1,0,M,M,(T),P,M,M,
16/10/2025,Thursday,,,4,1,0,M,M,(T),M,(D-N) P,M,
17/10/2025,Friday,,*,3,1,1,(D-NP) M,M,(T),N,(D-NP) M,(D-N) P,
18/10/2025,Saturday,,,1,1,0,MP,(D-W),,(D-W),,,
19/10/2025,Sunday,,,1,1,0,,(D-W),,(D-W),,MP,
20/10/2025,Monday,,,5,1,0,M,M,M,(D-N) P,M,M,
21/10/2025,Tuesday,,,5,1,0,P,M,M,M,M,M,
22/10/2025,Wednesday,*,,1,1,0,,,,,,MP,
23/10/2025,Thursday,*,,1,1,0,(D-M),,,,MP,,
24/10/2025,Friday,,,5,1,0,M,P,M,M,M,M,
25/10/2025,Saturday,,*,1,1,1,,N,,,MP,,
26/10/2025,Sunday,,,1,1,0,,,,MP,,,
27/10/2025,Monday,,,5,1,0,M,M,M,M,M,P,
28/10/2025,Tuesday,,,4,1,0,M,P,M,M,,M,
29/10/2025,Wednesday,*,,1,1,0,,,,,MP,,
30/10/2025,Thursday,,,4,1,0,P,M,M,M,,M,
31/10/2025,Friday,,,5,1,0,M,M,M,P,M,M,

,,,,,,STAFF STATISTICS,,,,,,

,,,,,,Total_Hours,138,120,144,126,156,150,
,,,,,,Vacation_Hours,0,0,0,30,0,0,
,,,,,,Morning_Shifts,15,13,8,8,14,14,
,,,,,,Afternoon_Shifts,4,5,1,4,2,3,
,,,,,,MP_Shifts,2,0,2,1,4,3,
,,,,,,Night_Shifts,0,1,1,1,1,1,
,,,,,,Ferie_Days,0,0,0,5,0,0,
,,,,,,Tirocinio_Days,0,0,9,0,0,0,
,,,,,,Weekend_Days,1,0,2,1,2,2,
,,,,,,Avg_Hours_Per_Week,31.2,27.1,32.5,28.5,35.2,33.9,
,,,,,,Night_Priority,1,1,1,1,1,1,
,,,,,,Weekend_Priority,1,1,1,1,1,1,
